sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_3_13_011,3_13,urban,2.1053,3.0042,0.7576,0.0547,0.9806,1.0,1.0,1.9222,2.912,0.7576,262144
potsdam_3_13_012,3_13,urban,2.4317,3.3662,0.6229,0.0641,0.9611,1.0,1.0,2.4625,3.3609,0.6229,262144
potsdam_3_13_013,3_13,urban,4.7396,5.5493,0.7015,0.1126,0.975,1.0,1.0,3.2549,4.0241,0.7015,262144
potsdam_3_13_014,3_13,urban,2.3813,2.7576,0.5992,0.0705,0.9999,1.0,1.0,1.2267,1.9029,0.5992,262144
potsdam_3_13_015,3_13,urban,3.1084,3.7562,0.9483,0.0785,0.9951,1.0,1.0,1.4108,2.0374,0.9483,262144
potsdam_3_13_016,3_13,urban,3.5699,4.6929,0.5724,0.0874,0.9409,1.0,1.0,3.3841,4.061,0.5724,262144
potsdam_3_13_017,3_13,urban,2.2019,2.9934,0.8161,0.0593,0.9872,1.0,1.0,1.4378,2.4101,0.8161,262144
potsdam_3_13_018,3_13,urban,2.7252,3.4897,0.902,0.0679,0.9968,1.0,1.0,1.8504,2.642,0.902,262144
potsdam_3_13_019,3_13,urban,2.6126,3.1409,0.92,0.0672,0.9968,1.0,1.0,1.3371,2.3912,0.92,262144
potsdam_3_13_020,3_13,urban,1.999,2.3845,0.9079,0.0552,0.9998,1.0,1.0,1.1229,1.6876,0.9079,262144
potsdam_3_13_021,3_13,urban,4.7795,5.4723,0.9209,0.1059,0.9759,1.0,1.0,1.7664,2.7262,0.9209,262144
potsdam_3_13_022,3_13,urban,2.0112,2.262,0.9374,0.0595,0.9997,1.0,1.0,0.9105,1.316,0.9374,262144
potsdam_3_13_023,3_13,urban,2.3021,2.7885,0.7037,0.0685,0.9907,1.0,1.0,1.4372,1.927,0.7037,262144
potsdam_3_13_024,3_13,urban,2.3419,2.6244,0.8979,0.0659,1.0,1.0,1.0,1.4565,1.9962,0.8979,262144
potsdam_4_14_000,4_14,urban,5.6076,7.0244,0.4336,0.1306,0.7619,1.0,1.0,5.3352,5.9548,0.4336,262144
potsdam_4_14_001,4_14,urban,3.1292,3.3821,0.9353,0.0775,0.9979,1.0,1.0,1.4225,2.0495,0.9353,262144
potsdam_4_14_002,4_14,urban,5.0606,5.2226,0.9508,0.1497,0.9947,1.0,1.0,0.4986,0.6477,0.9508,262144
potsdam_4_14_003,4_14,urban,4.2937,4.5271,0.9208,0.1256,0.9978,1.0,1.0,0.9152,1.0967,0.9208,262144
potsdam_4_14_004,4_14,urban,5.996,6.4356,0.4515,0.1891,0.7841,1.0,1.0,1.3326,2.1154,0.4515,262144
potsdam_4_14_005,4_14,urban,2.9008,3.1661,0.917,0.0821,0.9985,1.0,1.0,1.341,2.1506,0.917,262144
potsdam_4_14_006,4_14,urban,2.7809,3.4015,0.6735,0.0783,0.9935,1.0,1.0,2.4919,3.1546,0.6735,262144
potsdam_4_14_007,4_14,urban,5.7427,6.187,0.8493,0.1526,0.9242,1.0,1.0,3.533,4.4924,0.8493,262144
potsdam_4_14_008,4_14,urban,4.2128,4.5208,0.7507,0.1314,0.9755,1.0,1.0,1.7011,2.8721,0.7507,262144
potsdam_4_14_009,4_14,urban,6.2936,6.7624,0.4498,0.2023,0.7391,1.0,1.0,1.8489,2.7652,0.4498,262144
potsdam_4_14_010,4_14,urban,3.1941,3.5325,0.8829,0.0826,0.9997,1.0,1.0,2.1588,2.6486,0.8829,262144
